"VAR","Variable","COU","Country","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"TOTPUBSEW","Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR)","DNK","Denmark","2017","2017","PC","Percentage","0","Units",,,91.9,,
"TOTPUBSEW","Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR)","FIN","Finland","1970","1970","PC","Percentage","0","Units",,,53,"E","Estimated value"
"TOTPUBSEW","Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR)","FIN","Finland","1980","1980","PC","Percentage","0","Units",,,69,"E","Estimated value"
"TOTPUBSEW","Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR)","FIN","Finland","1990","1990","PC","Percentage","0","Units",,,76,"E","Estimated value"
"TOTPUBSEW","Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR)","FIN","Finland","2000","2000","PC","Percentage","0","Units",,,100,"E","Estimated value"
"TOTPUBSEW","Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR)","FIN","Finland","2010","2010","PC","Percentage","0","Units",,,100,,
"TOTPUBSEW","Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR)","FIN","Finland","2011","2011","PC","Percentage","0","Units",,,100,,
"TOTPUBSEW","Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR)","FIN","Finland","2012","2012","PC","Percentage","0","Units",,,100,,
"TOTPUBSEW","Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR)","FIN","Finland","2013","2013","PC","Percentage","0","Units",,,100,,
"TOTPUBSEW","Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR)","FIN","Finland","2014","2014","PC","Percentage","0","Units",,,100,,
"TOTPUBSEW","Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR)","FRA","France","2010","2010","PC","Percentage","0","Units",,,100,,
"TOTPUBSEW","Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR)","FRA","France","2011","2011","PC","Percentage","0","Units",,,100,,
"TOTPUBSEW","Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR)","FRA","France","2012","2012","PC","Percentage","0","Units",,,100,,
